Name,Address,Type
S_M_INT_OBJ_C0,0x80037620,func
S_M_INT_OBJ_E0,0x80037640,label
S_M_INT_OBJ_100,0x80037660,label
S_M_INT_OBJ_118,0x80037678,label
S_M_INT_OBJ_124,0x80037684,label
S_M_INT_OBJ_150,0x800376B0,label
S_M_INT_OBJ_184,0x800376E4,label
S_M_INT_OBJ_1C8,0x80037728,label
S_M_INT_OBJ_1D4,0x80037734,label
S_M_INT_OBJ_1EC,0x8003774C,label
S_M_INT_OBJ_218,0x80037778,label
S_M_INT_OBJ_258,0x800377B8,label
S_M_INT_OBJ_270,0x800377D0,func
S_M_INT_OBJ_2A8,0x80037808,label
S_M_INT_OBJ_2F8,0x80037858,label
SpuSetNoiseVoice,0x80037860,func
_SpuSetAnyVoice,0x80037884,func
S_SAV_OBJ_2C,0x800378B0,label
S_SAV_OBJ_38,0x800378BC,func
S_SAV_OBJ_DC,0x80037960,label
S_SAV_OBJ_114,0x80037998,func
S_SAV_OBJ_124,0x800379A8,label
S_SAV_OBJ_1A4,0x80037A28,label
S_SAV_OBJ_1E8,0x80037A6C,func
S_SAV_OBJ_1F8,0x80037A7C,func
S_SAV_OBJ_1FC,0x80037A80,label
SpuSetNoiseClock,0x80037A8C,func
S_SNC_OBJ_14,0x80037AA0,label
S_SNC_OBJ_24,0x80037AB0,func
SpuRead,0x80037ADC,func
S_R_OBJ_28,0x80037B04,label
S_R_OBJ_4C,0x80037B28,label
SpuSetReverb,0x80037B3C,func
S_SR_OBJ_28,0x80037B64,label
S_SR_OBJ_48,0x80037B84,label
S_SR_OBJ_94,0x80037BD0,label
S_SR_OBJ_B0,0x80037BEC,func
S_SR_OBJ_B4,0x80037BF0,func
_SpuIsInAllocateArea,0x80037C0C,func
S_M_UTIL_OBJ_1C,0x80037C28,label
S_M_UTIL_OBJ_2C,0x80037C38,func
S_M_UTIL_OBJ_6C,0x80037C78,label
S_M_UTIL_OBJ_74,0x80037C80,label
S_M_UTIL_OBJ_78,0x80037C84,func
_SpuIsInAllocateArea_,0x80037C8C,func
S_M_UTIL_OBJ_A4,0x80037CB0,label
S_M_UTIL_OBJ_B8,0x80037CC4,func
S_M_UTIL_OBJ_F8,0x80037D04,label
S_M_UTIL_OBJ_100,0x80037D0C,label
S_M_UTIL_OBJ_104,0x80037D10,func
SpuSetReverbModeParam,0x80037D18,func
S_SRMP_OBJ_60,0x80037D78,label
S_SRMP_OBJ_80,0x80037D98,label
S_SRMP_OBJ_B0,0x80037DC8,label
S_SRMP_OBJ_B8,0x80037DD0,label
S_SRMP_OBJ_100,0x80037E18,label
S_SRMP_OBJ_13C,0x80037E54,label
S_SRMP_OBJ_158,0x80037E70,label
S_SRMP_OBJ_170,0x80037E88,func
S_SRMP_OBJ_180,0x80037E98,func
S_SRMP_OBJ_190,0x80037EA8,label
S_SRMP_OBJ_1E4,0x80037EFC,label
S_SRMP_OBJ_208,0x80037F20,label
S_SRMP_OBJ_2A4,0x80037FBC,label
S_SRMP_OBJ_2AC,0x80037FC4,func
S_SRMP_OBJ_2BC,0x80037FD4,label
S_SRMP_OBJ_314,0x8003802C,label
S_SRMP_OBJ_334,0x8003804C,label
S_SRMP_OBJ_340,0x80038058,func
S_SRMP_OBJ_344,0x8003805C,label
S_SRMP_OBJ_384,0x8003809C,label
S_SRMP_OBJ_38C,0x800380A4,func
S_SRMP_OBJ_3D0,0x800380E8,label
S_SRMP_OBJ_3E0,0x800380F8,label
S_SRMP_OBJ_400,0x80038118,label
S_SRMP_OBJ_410,0x80038128,label
S_SRMP_OBJ_438,0x80038150,func
S_SRMP_OBJ_45C,0x80038174,func
S_SRMP_OBJ_474,0x8003818C,label
S_SRMP_OBJ_47C,0x80038194,label
S_SRMP_OBJ_49C,0x800381B4,label
S_SRMP_OBJ_4D8,0x800381F0,label
S_SRMP_OBJ_4DC,0x800381F4,func
_spu_setReverbAttr,0x80038228,func
S_SRMP_OBJ_52C,0x80038244,label
S_SRMP_OBJ_540,0x80038258,label
S_SRMP_OBJ_550,0x80038268,label
S_SRMP_OBJ_564,0x8003827C,label
S_SRMP_OBJ_574,0x8003828C,label
S_SRMP_OBJ_588,0x800382A0,label
S_SRMP_OBJ_598,0x800382B0,label
S_SRMP_OBJ_5AC,0x800382C4,label
S_SRMP_OBJ_5BC,0x800382D4,label
S_SRMP_OBJ_5D0,0x800382E8,label
S_SRMP_OBJ_5E0,0x800382F8,label
S_SRMP_OBJ_5F4,0x8003830C,label
S_SRMP_OBJ_604,0x8003831C,label
S_SRMP_OBJ_618,0x80038330,label
S_SRMP_OBJ_628,0x80038340,label
S_SRMP_OBJ_63C,0x80038354,label
S_SRMP_OBJ_64C,0x80038364,label
S_SRMP_OBJ_660,0x80038378,label
S_SRMP_OBJ_670,0x80038388,label
S_SRMP_OBJ_684,0x8003839C,label
S_SRMP_OBJ_694,0x800383AC,label
S_SRMP_OBJ_6A8,0x800383C0,label
S_SRMP_OBJ_6B8,0x800383D0,label
S_SRMP_OBJ_6CC,0x800383E4,label
S_SRMP_OBJ_6DC,0x800383F4,label
S_SRMP_OBJ_6F0,0x80038408,label
S_SRMP_OBJ_700,0x80038418,label
S_SRMP_OBJ_714,0x8003842C,label
S_SRMP_OBJ_724,0x8003843C,label
S_SRMP_OBJ_738,0x80038450,label
S_SRMP_OBJ_748,0x80038460,label
S_SRMP_OBJ_75C,0x80038474,label
S_SRMP_OBJ_770,0x80038488,label
S_SRMP_OBJ_784,0x8003849C,label
S_SRMP_OBJ_798,0x800384B0,label
S_SRMP_OBJ_7AC,0x800384C4,label
S_SRMP_OBJ_7C0,0x800384D8,label
S_SRMP_OBJ_7D4,0x800384EC,label
S_SRMP_OBJ_7E8,0x80038500,label
S_SRMP_OBJ_7FC,0x80038514,label
S_SRMP_OBJ_810,0x80038528,label
S_SRMP_OBJ_824,0x8003853C,label
S_SRMP_OBJ_838,0x80038550,label
S_SRMP_OBJ_84C,0x80038564,label
S_SRMP_OBJ_860,0x80038578,label
S_SRMP_OBJ_874,0x8003858C,label
S_SRMP_OBJ_888,0x800385A0,label
S_SRMP_OBJ_89C,0x800385B4,label
S_SRMP_OBJ_8B0,0x800385C8,label
S_SRMP_OBJ_8C4,0x800385DC,label
S_SRMP_OBJ_8D8,0x800385F0,label
S_SRMP_OBJ_8EC,0x80038604,label
S_SRMP_OBJ_900,0x80038618,label
S_SRMP_OBJ_914,0x8003862C,label
S_SRMP_OBJ_928,0x80038640,label
S_SRMP_OBJ_93C,0x80038654,label
S_SRMP_OBJ_950,0x80038668,label
S_SRMP_OBJ_964,0x8003867C,label
S_SRMP_OBJ_978,0x80038690,label
S_SRMP_OBJ_98C,0x800386A4,label
S_SRMP_OBJ_9A0,0x800386B8,label
S_SRMP_OBJ_9B4,0x800386CC,label
S_SRMP_OBJ_9C4,0x800386DC,label
S_SRMP_OBJ_9D8,0x800386F0,label
SpuSetReverbDepth,0x80038748,func
S_SRD_OBJ_1C,0x80038764,label
S_SRD_OBJ_3C,0x80038784,label
S_SRD_OBJ_50,0x80038798,label
S_SRD_OBJ_70,0x800387B8,label
SpuSetReverbVoice,0x800387C0,func
SpuClearReverbWorkArea,0x800387E4,func
S_CRWA_OBJ_58,0x8003883C,label
S_CRWA_OBJ_60,0x80038844,label
S_CRWA_OBJ_84,0x80038868,label
S_CRWA_OBJ_9C,0x80038880,func
S_CRWA_OBJ_BC,0x800388A0,label
S_CRWA_OBJ_E8,0x800388CC,label
S_CRWA_OBJ_EC,0x800388D0,label
S_CRWA_OBJ_FC,0x800388E0,label
S_CRWA_OBJ_100,0x800388E4,func
S_CRWA_OBJ_154,0x80038938,label
S_CRWA_OBJ_174,0x80038958,func
SpuSetIRQ,0x80038980,func
S_SI_OBJ_18,0x80038998,label
S_SI_OBJ_4C,0x800389CC,label
S_SI_OBJ_70,0x800389F0,label
S_SI_OBJ_94,0x80038A14,label
S_SI_OBJ_98,0x80038A18,label
S_SI_OBJ_A8,0x80038A28,label
S_SI_OBJ_DC,0x80038A5C,label
S_SI_OBJ_F8,0x80038A78,func
S_SI_OBJ_108,0x80038A88,label
S_SI_OBJ_12C,0x80038AAC,label
S_SI_OBJ_130,0x80038AB0,func
SpuSetIRQAddr,0x80038AC0,func
S_SIA_OBJ_2C,0x80038AEC,label
S_SIA_OBJ_30,0x80038AF0,func
SpuSetIRQCallback,0x80038B00,func
S_SIC_OBJ_2C,0x80038B2C,label
_SpuCallback,0x80038B44,func
SpuSetKey,0x80038B68,func
S_SK_OBJ_B4,0x80038C1C,label
S_SK_OBJ_EC,0x80038C54,label
S_SK_OBJ_110,0x80038C78,label
S_SK_OBJ_19C,0x80038D04,label
S_SK_OBJ_1D4,0x80038D3C,label
S_SK_OBJ_1F4,0x80038D5C,func
S_SK_OBJ_1FC,0x80038D64,func
SpuGetKeyStatus,0x80038D6C,func
S_GKS_OBJ_10,0x80038D7C,label
S_GKS_OBJ_2C,0x80038D98,func
S_GKS_OBJ_40,0x80038DAC,label
S_GKS_OBJ_48,0x80038DB4,label
S_GKS_OBJ_84,0x80038DF0,label
S_GKS_OBJ_8C,0x80038DF8,func
SpuSetTransferStartAddr,0x80038E60,func
S_STSA_OBJ_40,0x80038EA0,label
S_STSA_OBJ_44,0x80038EA4,func
SpuSetTransferMode,0x80038EB4,func
S_STM_OBJ_18,0x80038ECC,label
S_STM_OBJ_1C,0x80038ED0,func
SpuSetPitchLFOVoice,0x80038F0C,func
SpuSetCommonAttr,0x80038F30,func
S_SCA_OBJ_30,0x80038F60,label
switchD,0x80038F84,label
caseD_1,0x80038F8C,label
S_SCA_OBJ_5C,0x80038F8C,func
caseD_2,0x80038F94,label
S_SCA_OBJ_64,0x80038F94,func
caseD_3,0x80038F9C,label
S_SCA_OBJ_6C,0x80038F9C,func
caseD_4,0x80038FA4,label
S_SCA_OBJ_74,0x80038FA4,func
