Name,Address,Type
caseD_e4,0x80031AAC,label
caseD_e5,0x80031AAC,label
caseD_e6,0x80031AAC,label
caseD_e7,0x80031AAC,label
caseD_e8,0x80031AAC,label
caseD_e9,0x80031AAC,label
caseD_ea,0x80031AAC,label
caseD_eb,0x80031AAC,label
caseD_ec,0x80031AAC,label
caseD_ed,0x80031AAC,label
switchD,0x800340F0,label
caseD_5,0x800340F8,label
caseD_6,0x800340F8,label
caseD_d,0x800340F8,label
caseD_e,0x800340F8,label
caseD_8,0x80034110,label
caseD_9,0x80034110,label
caseD_a,0x80034110,label
caseD_1,0x80034120,label
caseD_2,0x80034120,label
caseD_3,0x80034120,label
caseD_4,0x80034120,label
caseD_b,0x80034120,label
caseD_c,0x80034120,label
caseD_f,0x80034120,label
caseD_10,0x80034120,label
caseD_11,0x80034120,label
caseD_12,0x80034120,label
caseD_0,0x80034128,label
caseD_7,0x80034128,label
S_INI_OBJ_30,0x800361E4,label
S_INI_OBJ_40,0x800361F4,label
S_INI_OBJ_164,0x80036318,label
SPU_OBJ_8C,0x800363B4,label
SPU_OBJ_B8,0x800363E0,label
SPU_OBJ_D8,0x80036400,label
SPU_OBJ_140,0x80036468,label
SPU_OBJ_1B4,0x800364DC,label
SPU_OBJ_250,0x80036578,label
SPU_OBJ_2DC,0x80036604,label
SPU_OBJ_2E8,0x80036610,label
SPU_OBJ_2F8,0x80036620,label
SPU_OBJ_314,0x8003663C,label
SPU_OBJ_360,0x80036688,label
SPU_OBJ_38C,0x800366B4,label
SPU_OBJ_3C4,0x800366EC,label
SPU_OBJ_3F4,0x8003671C,label
SPU_OBJ_420,0x80036748,label
SPU_OBJ_48C,0x800367B4,label
SPU_OBJ_4C0,0x800367E8,label
SPU_OBJ_4E4,0x8003680C,label
SPU_OBJ_514,0x8003683C,label
SPU_OBJ_634,0x8003695C,label
SPU_OBJ_650,0x80036978,label
SPU_OBJ_67C,0x800369A4,label
SPU_OBJ_6A8,0x800369D0,label
SPU_OBJ_6C4,0x800369EC,label
SPU_OBJ_6EC,0x80036A14,label
SPU_OBJ_718,0x80036A40,label
SPU_OBJ_734,0x80036A5C,label
SPU_OBJ_758,0x80036A80,label
SPU_OBJ_770,0x80036A98,label
SPU_OBJ_790,0x80036AB8,label
