Name,Address
ff7_memset,0x8004642C
memset,0x80048394
_card_info,0x80048864
_card_load,0x80048874
_card_auto,0x80048884
_card_clear,0x80048894
_card_write,0x800488CC
_new_card,0x800488DC
InitCARD2,0x800489A8
StartCARD2,0x800489B8
StopCARD2,0x800489C8
PATCH_OBJ_14,0x800489EC
_patch_card,0x80048A30
PATCH_OBJ_E0,0x80048AB8
PATCH_OBJ_F4,0x80048ACC
_patch_card2,0x80048AE8
